path,bytes,sha256
.gitignore,1074,0acd608ccb09cee984abf42d86cdc7199e2b8e0211bb070c6a0077ada8828535
CITATION.cff,1068,372931265cb77cd50996a566913f3fe10b5d01aaa3195ab42f1b1739280ca212
LICENSE,1069,749be167acbf97313022e55654f6179dbe801bc4aed436454009243271a67a2c
README.md,4849,57aed7579b8a5412f887be9dc5ff34cbfa07cfc8a291b7bc2950d36f83617022
scripts/01_load_signal_gate.R,4710,798b3a1e79394fb2bcd6efc71ea58282183e782c5cfe1124dd5f921caaa358a3
scripts/02_annotate_deg_enrich.R,5689,2e4995ea31c5758a7547252efbe4fb53a593249d95e9853e423dadf1cbf2ea95
scripts/03_immune_deconv.R,18696,fb596ea1a1acc7356dbdbe416fc5f65328afbd9b8f739ea1348bd993a7e36497
scripts/04_wgcna_hub.R,3808,2076609867491152f84257645bf7d8b73cd7579566d9206508e7c68fb72f53c6
scripts/05_hub.R,3556,938f68b571c1405498baf21d17e1e1c7da03e0fbf05c382fe12e94b117d0f321
scripts/07_validate_GSE108524.R,10264,f19c0ddfe32a48f880a5d84f8f89121146879b7f2131f5347810af08400cfd09
scripts/08_scrna_localize.R,35309,bf6513fa50b957f71cfad0acb430a4d6956d437df09e255523f64cd6611fc85b
scripts/09_nf2_vs_sporadic.R,15928,7f8eeb801831dadcabb319be7b8287d87eb3f3ec5ee288fa2fa8db27175d0c63
scripts/12_pseudobulk_DE.R,27784,bed30321b546aeb8a970081dfec107fe24d6d4b23e09b025b4aa0016cace39b5
scripts/13_bulk_deconv.R,18285,680b394cf2ed7207ec4d24684ae1868e53f528c3b44b7d2f027defa5a066c546
scripts/14_gse216783_second_ref.R,12972,fff2324fbffdb567680dafca417f80b165a9573c4287909e358c8b010b9aa518
scripts/15_candidate_matrix.R,7213,0b5781d64092195d721df31974f496f3b7a8651705e657398897c44771143d7b
scripts/18_figures_v2.R,25973,fdba8bae90d40a689e2f824383ab925a44f8a2be4dbfc2e1d5ae8f28f568f190
scripts/19_module_preservation.R,3601,9bbf831456c309180b10277f6502cfec512d50ff2bc8920334ec90b04ab8241d
scripts/20_prepare_submission_assets.R,3984,be41d29913964645161edd567792248bab6ac6ed586ac909095c20ec9957a4c6
scripts/21_build_embedded_docx.py,7383,4cca80feedb5af29cbd4ced9ddba11fd98f2e516267fd2b82b1038df84e15302
session_info/08_sessionInfo.txt,626,1ad78d9a93c5250145cfddaece0caa38bf9084d90b3a518047bb7892182230e2
source_data/Fig1_DEG_full_gene.csv,1969296,177f170247742e98ee02550b22ff4b00f70662411a19414864370e8d8133c308
source_data/Fig1_DEG_sig_fdr05_fc1.csv,91864,6b5a96a4d5bc3f548c4f7a3410fbca4e8885c554d241d407a4e06786dbbccbce
source_data/Fig1_GO_BP_down.csv,135318,65fd746a89aca649b7d9be465b353be07efa7703d8514e38803e339aaeb1c81e
source_data/Fig1_GO_BP_up.csv,192274,1bcd22f189a9624a56126ca9c2bec9ad0dd38b822e21b1d2edd9640209eaab6d
source_data/Fig2_hub_logFC_concordance.csv,20481,a9011eff3ce855fe1535dacccc74ef91095b6446b0196620ada32e8475e4358c
source_data/Fig3_celltype_composition.csv,418,6f1ccca02c64a3f6c641f76b5ccf92fb6631cd47ccbc9d7a0155b9c9b4947ace
source_data/Fig3_gene_celltype_expression.csv,32394,bc5a898e50c60e8dc41555b7041ac86bb7bacafe82e4c4741feac0266fb326c6
source_data/Fig4_GSE39645_MuSiC_fractions.csv,5512,e3356ee503ed7f0856be95379c20f2154942b78d415037133609a2f8409ffecc
source_data/Fig4_composition_adjusted_DEG.csv,3001745,74288d3c46764ab8d3f6b44ee6c0344c2073bd6dd749313ad457a69dd06b45d0
source_data/Fig4_direction_concordance.csv,2431,eabd54b3d9f132731c24804fdc5dcef5a7f251672c944a9ce722cf8d830f7fe2
source_data/Fig4_intrinsic_vs_composition.csv,149038,75b1a97e739c07fe2280501c334d016b94556372308ec2586ccb93c7f793dffe
source_data/Fig5_GSE216783_compartment_composition.csv,191,e184d10d3a09d62195672401299e7b61a8c0ba69e6cce5fae565406675d44be2
source_data/Fig5_candidate_compartment_localization.csv,597,b1a04763ceec3a4aa8d654221bd7393c6a789e79fa54a958523be486f5741099
source_data/Fig5_reference_comparison_deconv.csv,440,264ced7a833ee035d5b42996d2fe096ec5fdb81caea70750d6063b431e807e31
source_data/FigS1_module_gene_metrics.csv,265959,344c9d6bf21eceea8f4de1b77b5a2a2947c8b81cc14ce4eb03a9a143c76d5cdd
source_data/FigS1_module_trait_cor.csv,414,75e99070217248f81dc458bee0487df210bb144d3f3e71bf8fe81ef66d246eeb
source_data/FigS2_candidate_immune_cor.csv,10966,36453be50ae15c6b05e7fbc85be6b39a2ed9f48d8551812623a3f87307332bd6
source_data/FigS2_immune_diff_VS_vs_control.csv,3866,1e62ddc3d052ecbeb58985e4495283bb6b777d8adc662f4e9c43d0d7da8cfbef
source_data/FigS2_ssgsea_scores.csv,23235,72d67f65749eecbb58d99feb23219b5b39d756c6400d274a491deb5065d4020e
source_data/FigS4_bulk_pseudobulk_correlation.csv,121,19b6e31e0e034df59ae529dde1ba338d64c75c5238a7af07c443d8784d4c7e54
source_data/FigS4_bulk_pseudobulk_sensitivity.csv,3372,6b91ffcb9993011d2c5c13bfcecd50635138a9af3769b134c37c3d75586b4b52
source_data/FigS5_GSE108524_MuSiC_fractions.csv,3599,c92d86f5c9a20d0c32f0791c084c8d704c66146087e0fa7bdfca1bea40c321ef
source_data/FigS5_cell_fraction_group_tests.csv,3121,d96e786c5d478d5b6b5ce62e388fc10a9ebf31c15be5bf3d8ba89a3b2cd6b78a
source_data/FigS5_method_agreement.csv,584,211bd909af0485fdcfab7250d66cb485e6eb907049cb5b47c22858f7b3cbba03
source_data/FigS6_module_preservation.csv,721,54b0898491dd06ef4a566423cd8a08fb2190f40d3cc8176bcb1d395efc0b13de
source_data/source_data_manifest.csv,2608,f608349328f6a4fb88cdb01643702fd577d28e9677011b1e2d04abe85531cc42
supplementary_tables/TableS1_compartment_cross_evidence_map.csv,84723,eab2b5ab890ea8c110e0c74ef2374eae383a807cf8d163f3f2ecd02c22ad005c
